time (s),98358,9832,983,,
0.10%,12.3,2.1,238.6,,
0.20%,9.3,1.5,1.15,,
0.30%,8.7,1.1,0.84,,
0.40%,9,1.1,0.77,,
0.50%,8,1.1,0.55,,
0.60%,7.3,1.1,0.49,,
0.70%,6.8,1,0.51,,
0.80%,6.7,0.9,0.44,,
0.90%,6.5,0.9,0.43,,
1%,5.7,0.8,0.39,,
,,,,,
,,,,,
,,,,,
total itemset,98358,9832,983,,
0.10%,12432,18761,35429611,,
0.20%,1475,2150,30381,,
0.30%,815,887,8596,,
0.40%,691,695,4156,,
0.50%,596,606,1709,,
0.60%,544,554,1052,,
0.70%,493,498,696,,
0.80%,447,447,505,,
0.90%,405,404,411,,
1%,372,376,345,,
,,,,,
time (s),48598,48842,,,
0.10%,742,1867.9,,,
0.20%,494.7,1187.4,,,
0.30%,372.1,926.3,,,
0.40%,292,780.36,,,
0.50%,227.2,661.2,,,
0.60%,179.5,582.1,,,
0.70%,142.9,480.9,,,
0.80%,114.8,445.4,,,
0.90%,90,404.5,,,
1%,73.4,355.5,,,
,,,,,
,,,,48598,48842
total itemset,48598,48842,,minsupport,
0.10%,62088,287853,,48,48
0.20%,15692,83153,,97,97
0.30%,5685,35555,,145,146
0.40%,2961,19470,,194,195
0.50%,1940,11991,,242,244
0.60%,1347,7058,,291,293
0.70%,1008,4516,,340,341
0.80%,789,3251,,388,390
0.90%,620,2559,,437,439
1%,498,2070,,485,488
